label,region,hemi,view,x,y,.group,subgroup,.feature_id,atlas,source_package,source_atlas
lh_A4tl_L,A4tl_L,left,lateral,75.420045,63.169575,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.458935,63.38584,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.474471,63.516765,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.466654,63.562349,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.508465,63.616809,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.599905,63.680144,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.877484,63.816764,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.341203,64.026667,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.532055,64.163046,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.450041,64.2259,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.137835,64.350559,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.595436,64.537021,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.293639,64.671802,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.232442,64.754903,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,72.813991,65.074773,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.038284,65.631414,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.622231,65.953893,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.565831,66.042208,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.311082,66.228127,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.857984,66.51165,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.61246,66.708286,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.574509,66.818036,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,73.775546,67.003752,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.215571,67.265434,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.51384,67.496134,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.670353,67.695854,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,74.937517,67.842231,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,75.31533,67.935265,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,75.639522,68.044241,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,75.910091,68.16916,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,77.000916,68.808998,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,78.911997,69.963755,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.890626,70.570362,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.936802,70.628818,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.967805,70.729308,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.983635,70.871831,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.904672,71.219495,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.730917,71.7723,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.579641,72.341939,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.450845,72.928411,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.377349,73.273379,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.359154,73.376841,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.380583,73.516695,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.441638,73.692939,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,79.836211,73.997117,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,80.564304,74.429229,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,81.038269,74.760115,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,81.258106,74.989776,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,81.433717,75.129105,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,81.565103,75.178101,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,81.768685,75.182085,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,82.044464,75.141057,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,82.551452,74.959864,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,83.289648,74.638506,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,83.722054,74.466869,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,83.848671,74.444953,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.03614,74.453848,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.284462,74.493555,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.469474,74.544221,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.591178,74.605844,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.728033,74.71822,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.880038,74.881347,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,84.980916,75.304858,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,85.030669,75.988753,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,85.074398,76.384139,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,85.112104,76.491016,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,85.213301,76.634405,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,85.377988,76.814308,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,86.113918,77.26216,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,87.42109,77.97796,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
lh_A4tl_L,A4tl_L,left,lateral,88.223637,78.378014,1,1,67,brainnetome,ggsegBrainnetome,ggsegBrainnetome::brainnetome
