label,region,hemi,view,x,y,.group,subgroup,.feature_id,atlas,source_package,source_atlas
lh_LH_region_35,LH_region_35,left,lateral,40.477795,41.637789,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,40.307192,44.224656,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,39.676224,45.692396,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,38.584889,46.041009,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,38.335892,47.062373,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,38.929233,48.756488,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,38.755214,49.802609,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,37.813836,50.200737,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,38.648201,51.452601,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,41.25831,53.558203,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,42.234557,54.942094,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,41.576941,55.604274,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,41.569758,56.342905,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,42.21301,57.157986,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,43.204211,58.165743,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,44.543363,59.366177,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,48.039849,60.50413,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,53.693668,61.579601,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,57.936218,62.878896,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,60.767497,64.402014,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,61.305081,65.61907,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,59.54897,66.530065,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,60.150418,67.337867,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.109427,68.042477,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.768885,68.920935,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,62.12879,69.973241,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,61.795047,70.89622,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,62.767654,71.689871,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.2238,73.108434,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.163485,75.151909,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.76115,76.475384,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,65.016796,77.078861,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,67.33423,77.098522,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,70.713454,76.534369,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,73.513076,76.880919,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,75.733096,78.13817,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,76.972764,79.886625,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,77.232078,82.126282,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,78.827999,83.829432,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,81.760527,84.996076,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.197185,84.425208,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.137973,82.11683,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.566053,80.611431,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.481424,79.90901,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.914688,78.606882,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.865844,76.705049,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,85.349219,75.397814,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,86.364812,74.685177,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,86.372873,73.926653,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,85.373401,73.122242,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.735343,71.742447,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.458699,69.787269,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.670124,68.629359,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,85.369618,68.268718,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,84.959719,67.44083,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.440425,66.145695,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.800897,64.791673,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,86.041136,63.378764,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,85.702222,61.591652,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,82.784155,59.430338,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,81.768406,58.042719,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,82.654976,57.428795,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,81.857598,55.644974,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,79.376271,52.691255,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,78.618381,51.020571,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,79.583927,50.632922,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,80.636731,50.894606,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,81.776795,51.805621,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.828653,52.382905,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,86.792305,52.626457,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,89.446795,53.590379,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,91.792123,55.274669,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,93.429431,55.642365,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,94.358719,54.693465,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,94.194355,53.449824,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,92.93634,51.911442,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,91.545144,50.957868,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,90.020768,50.589104,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,89.264722,49.653723,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,89.277008,48.151725,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,88.81161,47.328259,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,87.868529,47.183325,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,86.67354,48.009322,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,85.226645,49.806252,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,83.251698,49.229314,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,80.7487,46.278508,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,78.003687,44.701582,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,75.01666,44.498538,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,71.247351,39.535781,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,66.695759,29.813311,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,64.036131,25.31519,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.268467,26.041417,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,63.289507,28.332466,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,64.099251,32.188336,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,62.692889,34.108106,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,59.070421,34.091774,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,54.579652,34.717961,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,49.220581,35.986668,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,45.046558,37.551855,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_35,LH_region_35,left,lateral,42.057584,39.413522,1,1,43,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,28.622474,30.951469,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,21.893834,35.931814,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,19.154697,39.620973,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,20.405063,42.018944,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,20.600206,43.727947,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,19.740125,44.747982,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,20.213627,47.359057,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,22.020712,51.561174,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,25.22364,55.207025,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,29.82241,58.296611,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,34.114496,60.627887,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,38.099897,62.200855,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,42.314116,64.840065,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,46.757153,68.545517,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,49.038428,71.026958,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,49.157943,72.284388,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,50.108877,73.343476,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,51.89123,74.204222,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,53.576174,74.384184,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,55.163709,73.883363,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,56.21502,73.07581,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,56.730106,71.961523,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,58.863925,70.787739,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,62.616477,69.554456,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,63.09059,68.526307,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,60.286263,67.703293,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,59.740043,66.78746,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,61.451929,65.778809,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,60.920224,64.509686,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,58.144927,62.980091,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,53.795158,61.621797,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,47.870915,60.434802,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,44.014046,58.913921,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,42.22455,57.059152,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,41.638193,55.751576,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,42.254975,54.991194,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,41.265305,53.606138,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,38.669184,51.596408,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,37.834818,50.344543,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,38.762208,49.850544,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,38.929233,48.756488,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,38.335892,47.062373,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,38.584889,46.041009,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,39.676224,45.692396,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,40.107213,44.277155,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,39.877858,41.795287,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,41.394465,39.588096,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,44.657034,37.655582,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,48.185016,36.197835,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,51.978412,35.214856,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,53.328618,33.471486,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,52.235636,30.967725,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,51.226207,29.79137,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,50.300332,29.942421,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,49.714137,30.59552,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,49.467622,31.750668,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,48.678316,31.943888,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,47.346219,31.17518,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,46.028488,31.19225,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,44.725123,31.995096,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,42.416116,32.414489,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,39.101467,32.450427,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,37.159462,32.318475,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,36.590101,32.018632,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,36.549608,31.352943,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,37.037983,30.321408,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,35.958326,29.469554,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_24,LH_region_24,left,lateral,33.310638,28.797382,1,1,21,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,91.021576,29.209068,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,93.141885,29.928969,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,95.038608,31.99948,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,96.711747,35.420602,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,99.379565,38.078929,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,103.042064,39.974462,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,105.77326,41.905619,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,107.573154,43.872398,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,110.833237,45.8523,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,115.553509,47.845323,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,118.902987,48.881565,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,120.881672,48.961025,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,123.660065,50.572945,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,127.238164,53.717322,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,131.325614,58.448435,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,135.922416,64.766284,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,138.868349,68.233654,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,140.163415,68.850548,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,140.727663,69.874394,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,140.561091,71.305193,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,141.184191,73.332457,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,142.596961,75.956185,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,144.017562,77.564486,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,145.445993,78.157358,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,146.150265,77.48005,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,146.130377,75.532561,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,146.702739,74.638732,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,147.86735,74.798564,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,148.724722,74.505065,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,149.274854,73.758236,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,150.526296,73.676496,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,152.479049,74.259844,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,153.819479,74.153304,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,154.547585,73.356875,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,155.653317,73.6956,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.136675,75.169478,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.69661,75.094155,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.333123,73.46963,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.544117,71.817787,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,158.329593,70.138627,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,158.320752,67.47258,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.517596,63.819647,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.885063,61.863497,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,159.423155,61.60413,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,159.49125,60.275398,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,158.089349,57.8773,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.540063,56.112503,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.843392,54.981005,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,157.49375,54.162609,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,156.491136,53.657315,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,155.510264,54.160666,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,154.551133,55.672663,1,1,22,power,ggsegPower,ggsegPower::power
lh_LH_region_25,LH_region_25,left,lateral,153.684332,56.289563,1,1,22,power,ggsegPower,ggsegPower::power
